id,name,phone,preferred_zones,rating_avg,max_driving_minutes_per_segment,total_cancellations
3fc6f138-6045-4882-8a16-2692f69d4228,Driver_0000,9126855092,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.57,270,1
083442ef-2844-4bf4-90c7-0a4c51e16ed0,Driver_0001,9362950628,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.35,270,0
f90f6baa-4c59-416d-9cdd-708265156686,Driver_0002,9249827706,Delhi|Agra|Kanpur|Lucknow,4.5,270,1
894888f1-c248-403f-aca9-cddaac265db4,Driver_0003,9826600539,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.75,270,2
0f6665ac-5ddd-43a7-a9a3-d15d46cfbc97,Driver_0004,9193349856,Kolkata|Nagpur|Mumbai,4.24,270,0
0aa62c09-bc7a-4951-9708-4a86275ad8c6,Driver_0005,9553035110,Kolkata|Nagpur|Mumbai,4.24,270,0
69dc041e-ef44-4acf-ba8b-2d8da688425f,Driver_0006,9131994523,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,3.8,270,1
310f7ff6-c724-4278-b409-74d1ab8bf019,Driver_0007,9334760738,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.2,270,0
4642a367-13ec-46f2-8b42-2a9b0cdc2ab5,Driver_0008,9642621108,Delhi|Agra|Kanpur|Lucknow,4.15,270,1
9db88e80-6a44-4430-b307-494694355bcb,Driver_0009,9128492780,Kolkata|Nagpur|Mumbai,3.65,270,0
69b345b3-ec55-408a-978c-9b0062c84f4a,Driver_0010,9313500298,Kolkata|Nagpur|Mumbai,4.21,270,1
eda803f0-7286-45ff-8f75-84584956b46f,Driver_0011,9550455977,Kolkata|Nagpur|Mumbai,4.44,270,0
8a6a00d5-73da-4ff5-9558-5f0841ca0cde,Driver_0012,9582334538,Delhi|Agra|Kanpur|Lucknow,4.19,270,0
0790fa20-df4f-43aa-b491-56eb44a3e0b6,Driver_0013,9398704996,Kolkata|Nagpur|Mumbai,4.73,270,1
69dc6351-3e90-4155-9ccd-371b5c0cdbf3,Driver_0014,9914763202,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.4,270,0
a7a60420-d4d7-48b2-9da8-19504b752bd6,Driver_0015,9849621470,Delhi|Agra|Kanpur|Lucknow,4.03,270,1
